Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
5266,49,5240,21,147,2503,3,2764,1440,434,536,40,67,259,1,608,135,370,1163,Alexandra Ext 1
1844,5,1837,5,17,876,0,989,413,117,176,20,0,176,0,273,40,115,496,Alexandra Ext 10
685,15,680,0,16,366,3,317,133,105,142,6,7,25,0,31,14,25,161,Alexandra Ext 11
334,2,332,0,9,159,0,194,91,13,15,3,9,8,0,28,12,50,113,Alexandra Ext 12
1166,3,1154,10,17,560,0,604,271,110,89,15,4,76,0,93,44,78,358,Alexandra Ext 13
2799,23,2796,1,38,1293,0,1504,510,190,118,16,37,282,0,335,49,622,547,Alexandra Ext 14
1419,14,1414,3,16,719,0,701,314,120,56,19,1,181,0,179,18,95,397,Alexandra Ext 15
894,6,890,2,24,447,0,445,255,98,120,5,0,23,0,42,13,29,276,Alexandra Ext 16
2198,13,2181,7,53,1166,8,1042,460,291,369,2,15,69,0,117,34,100,669,Alexandra Ext 17
626,4,624,0,20,299,0,326,129,44,30,1,2,60,0,41,12,47,230,Alexandra Ext 18
646,5,644,0,5,344,0,299,143,49,25,1,0,41,0,79,1,11,259,Alexandra Ext 19
515,11,513,0,18,283,0,229,151,41,82,13,1,20,0,65,12,15,83,Alexandra Ext 2
1515,22,1512,1,22,702,0,812,501,143,147,7,0,195,1,108,16,77,261,Alexandra Ext 20
2172,6,2170,0,194,1069,0,1109,561,102,154,14,6,155,9,338,35,197,409,Alexandra Ext 21
2895,18,2874,16,47,1410,3,1485,687,168,198,24,38,223,3,266,58,436,722,Alexandra Ext 22
2452,7,2443,6,42,1123,1,1334,821,127,136,25,7,119,2,101,125,397,527,Alexandra Ext 23
3127,48,3116,8,65,1501,1,1648,582,163,378,27,12,92,2,127,82,90,1446,Alexandra Ext 24
2948,9,2939,3,69,1046,4,1919,61,73,42,26,7,24,6,33,77,107,2430,Alexandra Ext 26
1111,50,1056,47,15,547,6,564,304,70,193,12,4,39,0,107,24,87,191,Alexandra Ext 27
1778,2,1772,3,137,644,1,1137,62,25,32,1,4,7,2,7,19,28,1426,Alexandra Ext 28
123,0,121,0,0,64,0,57,50,24,1,0,0,8,0,0,0,20,17,Alexandra Ext 29
896,0,893,1,3,451,0,452,140,54,117,7,6,89,1,147,6,73,254,Alexandra Ext 3
409,0,404,2,7,223,1,185,93,43,100,10,0,0,0,45,3,0,105,Alexandra Ext 30
3633,32,3617,10,79,1676,4,1965,655,202,192,25,15,97,5,189,94,340,1680,Alexandra Ext 31
3051,26,3037,7,67,1431,5,1638,114,93,60,29,7,40,9,50,61,164,2344,Alexandra Ext 32
1821,4,1812,7,31,906,0,924,678,175,176,7,14,75,0,158,33,91,382,Alexandra Ext 33
3417,7,3408,4,22,1603,3,1827,906,324,251,28,21,153,0,448,83,316,791,Alexandra Ext 34
1748,13,1739,6,28,830,1,920,317,155,116,16,14,124,0,325,17,130,488,Alexandra Ext 35
1474,8,1472,0,51,667,0,836,256,85,21,20,4,111,27,142,117,313,367,Alexandra Ext 36
386,0,384,0,3,176,0,211,135,36,24,5,6,45,1,29,6,40,59,Alexandra Ext 37
1748,11,1745,1,15,853,0,894,372,106,138,20,3,130,1,268,38,242,388,Alexandra Ext 38
1817,12,1813,1,37,889,1,928,480,171,148,7,12,45,1,191,43,91,553,Alexandra Ext 39
349,3,347,0,9,194,0,156,101,23,39,0,1,8,3,25,6,30,106,Alexandra Ext 4
3794,39,3766,25,48,1746,1,2119,969,231,224,31,18,209,3,999,90,221,749,Alexandra Ext 40
